CUSTOMER_ID,MOLFORMULA,MOLWEIGHT,ANALYTICAL_RESULT,SMILES,SALTDATA,Plate Position 1,MGL Plate labcyte,Plate volume labcyte,WellConcentration,LibraryID,LibraryID (#1),Batchref
F20221117_0798,C22H30N4O2S,414.57,95%,CCCc1cnc(Nc2cccc(C3CN(C(=O)C4CCCCC4)CCO3)n2)s1,,K09,MGL_0000004_L01,95,10000,MGL,Molecular Glue-like Library,1
F20221117_0851,C25H37N5O3S,487.67,92%,CCCc1cnc(Nc2cccc(C3CCN(C(=O)C(C)(C)NC(=O)OC(C)(C)C)CC3)n2)s1,,K11,MGL_0000004_L01,92,10000,MGL,Molecular Glue-like Library,1
F20221117_0982,C21H27N5O4,413.48,95%,CN(CCCN1CCNCC1)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,,M03,MGL_0000004_L01,95,10000,MGL,Molecular Glue-like Library,1
F20221117_0955,C24H24N6OS,444.56,95%,Cn1nccc1/C=C/C(=O)N1CCCC(c2cc3ccccc3c(Nc3nccs3)n2)C1,,M05,MGL_0000004_L01,95,10000,MGL,Molecular Glue-like Library,1
F20221117_0895,C28H41N5O4S,543.73,90%,Cc1cnc(Nc2cccc(C(CO)C3CCN(C(=O)C4(NC(=O)OC(C)(C)C)CCCCC4)CC3)n2)s1,,M07,MGL_0000004_L01,90,10000,MGL,Molecular Glue-like Library,1
F20221117_0810,C25H35N5O3S,485.65,93%,Cc1cnc(Nc2cc(C3CCN(C(=O)C4CCCCN4C(=O)OC(C)(C)C)CC3)ccn2)s1,,M09,MGL_0000004_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0852,C26H39N5O3S,501.7,90%,CCCCc1cnc(Nc2cccc(C3CCN(C(=O)C(C)(C)NC(=O)OC(C)(C)C)CC3)n2)s1,,M11,MGL_0000004_L01,90,10000,MGL,Molecular Glue-like Library,1
F20221117_0979,C24H30FN5O4,471.54,90%,O=C1CCC(N2C(=O)c3cc(F)c(N4CCN(CCC5CCNCC5)CC4)cc3C2=O)C(=O)N1,,O03,MGL_0000004_L01,90,10000,MGL,Molecular Glue-like Library,1
F20221117_0946,C11H17N7O,263.3,90%,C[C@@]1(O)CNCC[C@H]1n1cnc2c(N)nc(N)nc21,,O05,MGL_0000004_L01,90,10000,MGL,Molecular Glue-like Library,1
F20221117_0915,C18H25N5OS,359.5,94%,CCCc1cnc(Nc2cccc(C3CCN(C(=O)CN)CC3)n2)s1,,O07,MGL_0000004_L01,94,10000,MGL,Molecular Glue-like Library,1
F20221117_0812,C26H31N5O4S,509.63,94%,Cc1cnc(Nc2cccc(C3CN(C(=O)CN(C(=O)OC(C)(C)C)c4ccccc4)CCO3)n2)s1,,O09,MGL_0000004_L01,94,10000,MGL,Molecular Glue-like Library,1
F20221117_0867,C25H37N5O2S,471.67,95%,CCCc1cnc(Nc2cccc(C3CCN(C(=O)C4CCCCN4CCCO)CC3)n2)s1,,O11,MGL_0000004_L01,95,10000,MGL,Molecular Glue-like Library,1
,,,,O=C1c2c3c(ccc2OC(c2ccccc2)=C1)cccc3,,,,,,,,
,,,,O=C1c2c(OC(c3ccccc3)=C1)c1c(cc2)cccc1,,,,,,,,
,,,,O=C(OC)c1nc(C(=O)c2c3c([nH]c2)cccc3)sc1,,,,,,,,
,,,,O=C(N[C@@](C(C)(C)C)C(=O)N1[C@](C(=O)N[C@]2c3c(cccc3)CCC2)Cc2c(cccc2)C1)[C@@](NC)C,,,,,,,,
,,,,O=C(O)[C@@](NC(=O)[C@@](O)[C@](N)Cc1ccccc1)CC(C)C,,,,,,,,
,,,,Fc1c(NC(=O)[C@]2N(C(=O)[C@@](NC(=O)[C@@](NC)C)C(C)(C)C)C[C@@](N)C2)c(F)ccc1,,,,,,,,
,,,,O=C(OC)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC)C)C2CCCCC2)CCC1)C(c1ccccc1)c1ccccc1,,,,,,,,
,,,,O=C(N[C@](C(=O)N1[C@](c2scc(C(=O)c3cc(OC)ccc3)n2)CCC1)C1CCCCC1)[C@@](NC)C,,,,,,,,
,,,,O=C(N[C@](C(=O)N[C@@]1[C@]2N(CCc3ccccc3)C[C@@](C1)CC2)C1CCCCC1)[C@@](NC)C,,,,,,,,
,,,,O=C(N[C@](C(=O)N1[C@](C(=O)Nc2c(-c3ccccc3)nns2)CCC1)C1CCCCC1)[C@@](NC)C,,,,,,,,
,,,,Fc1ccc(CC=2C(=O)N(C)C=3C(C)(C)CN(C(=O)CN4[C@@](CN5[C@](C)COC[C@]5C)CN[C@](C)C4)C=3C=2)cc1,,,,,,,,
,,,,Fc1ccc(Cc2cnc3C(C)(C)CN(C(=O)CN4[C@@](CN5[C@](C)COCC5)CN[C@](C)C4)c3c2)cc1,,,,,,,,
,,,,O=C(OC)[C@@](NC(=O)[C@@](O)[C@](N)Cc1ccccc1)CC(C)C,,,,,,,,
,,,,O=C(N[C@](C(=O)NC)CC(C)C)[C@@](O)[C@](N)Cc1ccccc1,,,,,,,,
,,,,O=C(NC)[C@@](NC(=O)CCCc1ccccc1)CC(C)C,,,,,,,,
,,,,O=C(N[C@](C(=O)N1[C@](c2scc(C(=O)c3cc(OC)ccc3)n2)CCC1)C1CCCCC1)[C@@](NC)C,,,,,,,,
,,,,O=C(N[C@](C(=O)N1[C@](C(=O)Nc2c(-c3ccccc3)nns2)CCC1)C1CCCCC1)[C@@](NC)C,,,,,,,,
,,,,O=C1C(N2C(=O)c3c(C2=O)cccc3)CCC(=O)N1,,,,,,,,
,,,,O=C1[C@](C)(N2C(=O)c3c(O)cccc3C2=O)CCC(=O)N1,,,,,,,,
,,,,Fc1cc2c(C(=O)N([C@@]3(C)C(=O)NC(=O)CC3)C2)cc1,,,,,,,,
,,,,O=C1[C@@](C)(N2C(=O)c3c(O)cccc3C2=O)CCC(=O)N1,,,,,,,,
,,,,Fc1cc2c(C(=O)N([C@]3(C)C(=O)NC(=O)CC3)C2)cc1,,,,,,,,
,,,,Fc1cc2C(=O)N(C(=O)c2cc1)C1C(=O)N(COC(=O)NCCNC(=O)[C@@](N)C)C(=O)CC1,,,,,,,,
,,,,O=C1C(N2C(=O)c3c(cc(N4[C@](C)CN[C@@](C)C4)cc3)C2)CCC(=O)N1,,,,,,,,
,,,,Fc1cc2C(=C)CN(C(=O)c2cc1)C1C(=O)NC(=O)CC1,,,,,,,,
